Category,EndpointUri,Method,ITGMethod,Function,Example,Complete,Notes
Attachments,/:resource_type/:resource_id/relationships/attachments,POST,Create,New-ITGlueAttachment,Invoke-ITGlueAttachment,YES,
Attachments,/:resource_type/:resource_id/relationships/attachments/:id,PATCH,Update,Set-ITGlueAttachment,Invoke-ITGlueAttachment,YES,
Attachments,/:resource_type/:resource_id/relationships/attachments,DELETE,Bulk_destroy,Remove-ITGlueAttachment,Invoke-ITGlueAttachment,YES,
ConfigurationInterfaces,/configurations/:configuration_id/relationships/configuration_interfaces,GET,Index,Get-ITGlueConfigurationInterface,Invoke-ExampleITGlueConfigurationInterface,YES,
ConfigurationInterfaces,/configuration_interfaces/:id,GET,Show,Get-ITGlueConfigurationInterface,Invoke-ExampleITGlueConfigurationInterface,YES,
ConfigurationInterfaces,/configurations/:configuration_id/relationships/configuration_interfaces/:id,GET,Show,Get-ITGlueConfigurationInterface,Invoke-ExampleITGlueConfigurationInterface,YES,
ConfigurationInterfaces,/configuration_interfaces,POST,Create,New-ITGlueConfigurationInterface,Invoke-ExampleITGlueConfigurationInterface,YES,
ConfigurationInterfaces,/configurations/:configuration_id/relationships/configuration_interfaces,POST,Create,New-ITGlueConfigurationInterface,Invoke-ExampleITGlueConfigurationInterface,YES,
ConfigurationInterfaces,/configuration_interfaces/:id,PATCH,Update,Set-ITGlueConfigurationInterface,Invoke-ExampleITGlueConfigurationInterface,YES,
ConfigurationInterfaces,/configurations/:configuration_id/relationships/configuration_interfaces/:id,PATCH,Update,Set-ITGlueConfigurationInterface,Invoke-ExampleITGlueConfigurationInterface,YES,
ConfigurationInterfaces,/configuration_interfaces,PATCH,Bulk_update,Set-ITGlueConfigurationInterface,Invoke-ExampleITGlueConfigurationInterface,YES,
ConfigurationStatuses,/configuration_statuses,GET,Index,Get-ITGlueConfigurationStatus,Invoke-ExampleITGlueConfigurationStatus,YES,
ConfigurationStatuses,/configuration_statuses/:id,GET,Show,Get-ITGlueConfigurationStatus,Invoke-ExampleITGlueConfigurationStatus,YES,
ConfigurationStatuses,/configuration_statuses,POST,Create,New-ITGlueConfigurationStatus,Invoke-ExampleITGlueConfigurationStatus,YES,
ConfigurationStatuses,/configuration_statuses/:id,PATCH,Update,Set-ITGlueConfigurationStatus,Invoke-ExampleITGlueConfigurationStatus,YES,
ConfigurationTypes,/configuration_types,GET,Index,Get-ITGlueConfigurationType,Invoke-ExampleITGlueConfigurationType,YES,
ConfigurationTypes,/configuration_types/:id,GET,Show,Get-ITGlueConfigurationType,Invoke-ExampleITGlueConfigurationType,YES,
ConfigurationTypes,/configuration_types,POST,Create,New-ITGlueConfigurationType,Invoke-ExampleITGlueConfigurationType,YES,
ConfigurationTypes,/configuration_types/:id,PATCH,Update,Set-ITGlueConfigurationType,Invoke-ExampleITGlueConfigurationType,YES,
Configurations,/configurations,GET,Index,Get-ITGlueConfiguration,Invoke-ExampleITGlueConfiguration,YES,
Configurations,/organizations/:organization_id/relationships/configurations,GET,Index,Get-ITGlueConfiguration,Invoke-ExampleITGlueConfiguration,YES,
Configurations,/configurations/:id,GET,Show,Get-ITGlueConfiguration,Invoke-ExampleITGlueConfiguration,YES,
Configurations,/organizations/:organization_id/relationships/configurations/:id,GET,Show,Get-ITGlueConfiguration,Invoke-ExampleITGlueConfiguration,YES,
Configurations,/configurations,POST,Create,New-ITGlueConfiguration,Invoke-ExampleITGlueConfiguration,YES,
Configurations,/organizations/:organization_id/relationships/configurations,POST,Create,New-ITGlueConfiguration,Invoke-ExampleITGlueConfiguration,YES,
Configurations,/configurations/:id,PATCH,Update,Set-ITGlueConfiguration,Invoke-ExampleITGlueConfiguration,YES,
Configurations,/organizations/:organization_id/relationships/configurations/:id,PATCH,PATCH,Set-ITGlueConfiguration,Invoke-ExampleITGlueConfiguration,YES,
Configurations,/configurations,PATCH,Bulk_update,Set-ITGlueConfiguration,Invoke-ExampleITGlueConfiguration,YES,
Configurations,/configurations,DELETE,Bulk_destroy,Remove-ITGlueConfiguration,Invoke-ExampleITGlueConfiguration,YES,
Configurations,/organizations/:organization_id/relationships/configurations,DELETE,Bulk_destroy,Remove-ITGlueConfiguration,Invoke-ExampleITGlueConfiguration,YES,
ContactTypes,/contact_types,GET,Index,Get-ITGlueContactType,Invoke-ExampleITGlueContactType,YES,
ContactTypes,/contact_types/:id,GET,Index,Get-ITGlueContactType,Invoke-ExampleITGlueContactType,YES,
ContactTypes,/contact_types,POST,Create,New-ITGlueContactType,Invoke-ExampleITGlueContactType,YES,
ContactTypes,/contact_types/:id,PATCH,Update,Set-ITGlueContactType,Invoke-ExampleITGlueContactType,YES,
Contacts,/contacts,GET,Index,Get-ITGlueContact,Invoke-ExampleITGlueContact,YES,
Contacts,/organizations/:organization_id/relationships/contacts,GET,Index,Get-ITGlueContact,Invoke-ExampleITGlueContact,YES,A users important field in ITGlue can sometimes be null which will cause this parameter to return incomplete information
Contacts,/contacts/:id,GET,Show,Get-ITGlueContact,Invoke-ExampleITGlueContact,YES,
Contacts,/organizations/:organization_id/relationships/contacts/:id,GET,Show,Get-ITGlueContact,Invoke-ExampleITGlueContact,YES,
Contacts,/contacts,POST,Create,New-ITGlueContact,Invoke-ExampleITGlueContact,YES,
Contacts,/organizations/:organization_id/relationships/contacts,POST,Create,New-ITGlueContact,Invoke-ExampleITGlueContact,YES,
Contacts,/contacts/:id,PATCH,Update,Set-ITGlueContact,Invoke-ExampleITGlueContact,YES,
Contacts,/organizations/:organization_id/relationships/contacts/:id,PATCH,Update,Set-ITGlueContact,Invoke-ExampleITGlueContact,YES,
Contacts,/contacts,PATCH,Bulk_update,Set-ITGlueContact,Invoke-ExampleITGlueContact,YES,
Contacts,/contacts,DELETE,Bulk_destroy,Remove-ITGlueContact,Invoke-ExampleITGlueContact,YES,
Contacts,/organizations/:organization_id/relationships/contacts,DELETE,Bulk_destroy,Remove-ITGlueContact,Invoke-ExampleITGlueContact,YES,
Countries,/countries,GET,Index,Get-ITGlueCountry,Invoke-ExampleITGlueCountry,YES,
Countries,/countries/:id,GET,Show,Get-ITGlueCountry,Invoke-ExampleITGlueCountry,YES,
Documents,/documents/:id,PATCH,Update,Set-ITGlueDocument,Invoke-ExampleITGlueDocument,YES,
Documents,/organizations/:organization_id/relationships/documents/:id,PATCH,Update,Set-ITGlueDocument,Invoke-ExampleITGlueDocument,YES,
Documents,/documents,PATCH,Bulk_update,Set-ITGlueDocument,Invoke-ExampleITGlueDocument,YES,
Domains,/domains,GET,Index,Get-ITGlueDomain,Invoke-ExampleITGlueDomain,YES,screenshot appear to always be blank
Domains,/organizations/:organization_id/relationships/domains,GET,Index,Get-ITGlueDomain,Invoke-ExampleITGlueDomain,YES,screenshot appear to always be blank
Expirations,/expirations,GET,Index,Get-ITGlueExpiration,Invoke-ExampleITGlueExpiration,YES,
Expirations,/organizations/:organization_id/relationships/expirations,GET,Index,Get-ITGlueExpiration,Invoke-ExampleITGlueExpiration,YES,
Expirations,/expirations/:id,GET,Show,Get-ITGlueExpiration,Invoke-ExampleITGlueExpiration,YES,
Expirations,/organizations/:organization_id/relationships/expirations/:id,GET,Show,Get-ITGlueExpiration,Invoke-ExampleITGlueExpiration,YES,
Exports,/exports,GET,Index,Get-ITGlueExport,N/A,YES,
Exports,/exports/:id,GET,Show,Get-ITGlueExport,N/A,YES,
Exports,/exports,POST,Create,New-ITGlueExport,N/A,YES,
Exports,/exports/:id,DELETE,Destroy,Remove-ITGlueExport,N/A,YES,
